experiment,fold_idx,checkpoint,val_loss,old_accuracy,corrected_iou,dice,binary_iou,original_reported_accu,original_reported_loss
utooth_10f_v3,2,utooth-epoch=47-val_loss=0.3371.ckpt,0.30342717965443927,0.5761333902676901,0.6098512709140778,0.6828824281692505,0.5747227172056834,0.6028931140899658,0.3371087908744812
utooth_10f_v3,3,utooth-epoch=60-val_loss=0.1457.ckpt,0.16293559471766153,0.5714109937349955,0.7171667218208313,0.8155601819356283,0.7276390989621481,0.5775966048240662,0.14574068784713745
utooth_10f_v3,4,utooth-epoch=43-val_loss=0.2227.ckpt,0.25349167982737225,0.5597098072369894,0.5814139346281687,0.6801064411799113,0.6089652379353842,0.5786515474319458,0.22266773879528046
utooth_10f_v3,5,utooth-epoch=49-val_loss=0.1542.ckpt,0.19517050186793009,0.547157088915507,0.6848898132642111,0.7791818181673685,0.6978928744792938,0.6060528755187988,0.15422552824020386
utooth_10f_v3,6,utooth-epoch=57-val_loss=0.1025.ckpt,0.12085904677708943,0.6266064445177714,0.7864286700884501,0.8501614928245544,0.791323184967041,0.6597135066986084,0.10245311260223389
utooth_10f_v3,7,utooth-epoch=61-val_loss=0.0844.ckpt,0.08108842372894287,0.6737412611643473,0.8503597180048624,0.918658971786499,0.8530414899190267,0.6768726706504822,0.08439582586288452
utooth_10f_v3,8,utooth-epoch=49-val_loss=0.1158.ckpt,0.11882904171943665,0.5611225962638855,0.8164285719394684,0.8914750218391418,0.790817379951477,0.6403077840805054,0.11578249931335449
utooth_10f_v3,9,utooth-epoch=42-val_loss=0.1000.ckpt,0.10086160898208618,0.5479693412780762,0.8219340145587921,0.901593804359436,0.8230095505714417,0.6690560579299927,0.0999535322189331
utooth_10f_v4,0,utooth-epoch=45-val_loss=0.1435.ckpt,0.1568009853363037,0.5811406970024109,0.7381534973780314,0.8221624692281088,0.7354158759117126,0.6248473525047302,0.14345324039459229
utooth_10f_v4,1,utooth-epoch=46-val_loss=0.3069.ckpt,0.2798695166905721,0.5966392954190572,0.6512139638264974,0.7261665463447571,0.6059629718462626,0.5877790451049805,0.3069162368774414
utooth_10f_v4,2,utooth-epoch=42-val_loss=0.1418.ckpt,0.1412052313486735,0.5456639726956686,0.7678121328353882,0.8482469121615092,0.7667260964711508,0.6270825266838074,0.1418454647064209
utooth_10f_v4,3,utooth-epoch=43-val_loss=0.2657.ckpt,0.24223188559214273,0.5479853550593058,0.6111748516559601,0.6805354356765747,0.6256173749764761,0.5527195930480957,0.2656528949737549
utooth_10f_v4,4,utooth-epoch=43-val_loss=0.1085.ckpt,0.11549874146779378,0.5756834149360657,0.8036803603172302,0.8865713874499003,0.8094514012336731,0.5924150943756104,0.10847389698028564
utooth_10f_v4,5,utooth-epoch=47-val_loss=0.1470.ckpt,0.15528281529744467,0.5990063150723776,0.683967669804891,0.7719006935755411,0.744596540927887,0.5964417457580566,0.14699941873550415
utooth_10f_v4,6,utooth-epoch=41-val_loss=0.0975.ckpt,0.09795522689819336,0.5919776558876038,0.8311178088188171,0.9073625405629476,0.8313330014546713,0.6357517242431641,0.09745687246322632
utooth_10f_v4,7,utooth-epoch=46-val_loss=0.1285.ckpt,0.13491171598434448,0.5523123145103455,0.7673235734303793,0.8649424115816752,0.763595978418986,0.6077484488487244,0.12848323583602905
utooth_10f_v4,8,utooth-epoch=48-val_loss=0.0933.ckpt,0.0932164192199707,0.6436610817909241,0.830464780330658,0.9067597985267639,0.8331664204597473,0.6628873348236084,0.09328478574752808
utooth_10f_v4,9,utooth-epoch=38-val_loss=0.1415.ckpt,0.14016273617744446,0.5592441260814667,0.7374137938022614,0.8198757469654083,0.7666033804416656,0.6093724966049194,0.1414628028869629
